nct_id,snapshot_type,version,version_date,primary_outcomes,history_status,history_url
NCT03098550,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03098550?tab=history
NCT03098550,current,current,,Number of Participants With Adverse Events (AEs) [Time Frame: From first dose to 30 days post last dose (up to 34 months)] | Number of Participants With Serious Adverse Events (SAEs) [Time Frame: From first dose to 30 days post last dose (up to 34 months)] | Number of Participants With Laboratory Abnormalities in Specific Liver Tests [Time Frame: From first dose to 30 days post last dose (up to 34 months)] | Number of Participants With Laboratory Abnormalities in Specific Thyroid Tests [Time Frame: From first dose to 30 days post last dose (up to 34 months)] | Number of Participants With Laboratory Results of Worst CTC Grade [Time Frame: From first dose to 30 days post last dose (up to 34 months)],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03098550?tab=history
NCT03250676,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03250676?tab=history
NCT03250676,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03250676?tab=history
NCT03250676,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03250676?tab=history
NCT03250676,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03250676?tab=history
NCT03250676,current,current,,"Phase 1: Number of Participants With Dose-limiting Toxicities (DLTs) [Time Frame: Cycle 1 (Cycle length=28 days)] | Phase 1 and Phase 2: Objective Response Rate (ORR) [Time Frame: Phase 1 and Phase 2: From the first dose of study drug to the first date of documentation of progressive disease (PD) or death, whichever occurred first (up to 33 months)] | Phase 1 and Phase 2: Duration of Response (DoR) [Time Frame: Phase 1 and Phase 2: From the first dose of study drug to the first date of documentation of PD or death, whichever occurred first (up to 33 months)] | Phase 1 and Phase 2: Disease Control Rate (DCR) [Time Frame: Phase 1 and Phase 2: From the first dose of study drug to the first date of documentation of PD or death, whichever occurred first (up to 33 months)] | Phase 1 and Phase 2: Clinical Benefit Rate (CBR) [Time Frame: Phase 1 and Phase 2: From the first dose of study drug to the first date of documentation of PD or death, whichever occurred first (up to 33 months)] | Phase 1 and Phase 2: Progression-free Survival (PFS) [Time Frame: Phase 1 and Phase 2: From the first dose of study drug to the first date of documentation of PD or death, whichever occurred first (up to 33 months)] | Phase 1 and Phase 2: Overall Survival (OS) [Time Frame: Phase 1 and Phase 2: From the first dose of study drug to date of death or last known alive (up to 63 months)]",CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03250676?tab=history
NCT03691493,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03691493?tab=history
NCT03691493,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03691493?tab=history
NCT03691493,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03691493?tab=history
NCT03691493,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03691493?tab=history
NCT03691493,current,current,,Response Rate [Time Frame: Up to 3 months post radiation],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03691493?tab=history
NCT01853748,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01853748?tab=history
NCT01853748,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01853748?tab=history
NCT01853748,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01853748?tab=history
NCT01853748,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01853748?tab=history
NCT01853748,current,current,,"Number of Participants of Clinically Relevant Toxicities (CRT) [Time Frame: 5 years after completion of study treatment or until death, whichever occurs first.] | 3-year Disease Free Survival (DFS) Rate of Trastuzumab Emtansine (TDM-1) [Time Frame: 3 years]",CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01853748?tab=history
NCT03371017,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03371017?tab=history
NCT03371017,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03371017?tab=history
NCT03371017,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03371017?tab=history
NCT03371017,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03371017?tab=history
NCT03371017,current,current,,Overall Survival (OS) in PD-L1-positive Population [Time Frame: Time from randomization to death (Up to 68 months)] | OS in Modified Intent-to-treat (mITT) Population [Time Frame: Time from randomization to death (Up to 68 months)],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03371017?tab=history
NCT01926886,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01926886?tab=history
NCT01926886,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01926886?tab=history
NCT01926886,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01926886?tab=history
NCT01926886,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01926886?tab=history
NCT01926886,current,current,,Percentage of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs) [Time Frame: Up to 45 months],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01926886?tab=history
NCT01847001,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01847001?tab=history
NCT01847001,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01847001?tab=history
NCT01847001,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01847001?tab=history
NCT01847001,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01847001?tab=history
NCT01847001,current,current,,Mean Adherence to Propranolol [Time Frame: Approximately 6 months] | Total Number of Participants Who Reached The Target Propranolol Dosing [Time Frame: Approximately 6 months],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01847001?tab=history
NCT01605396,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01605396?tab=history
